time,total_objects,person_count,unique_objects,furniture_count,vehicle_count,hour
09:55:37,2,1,2,0,0,9
09:55:37,2,1,2,0,0,9
09:55:38,2,1,2,0,0,9
09:55:38,2,1,2,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:38,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,2,1,2,0,0,9
09:55:39,2,1,2,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,2,1,2,0,0,9
09:55:39,2,1,2,0,0,9
09:55:39,1,1,1,0,0,9
09:55:39,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,1,1,1,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:40,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:41,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:42,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,1,1,1,0,0,9
09:55:43,1,1,1,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,2,1,2,0,0,9
09:55:43,1,1,1,0,0,9
09:55:43,1,1,1,0,0,9
09:55:43,1,1,1,0,0,9
09:55:44,1,1,1,0,0,9
